"Unique ID	Part Number	Description	Type	Hrs Interval	Month	Qty	Spare qty	Price	Unit of Measure	Min	Median	Max",,
"UID-A-000673	50-921587-7 quoted -0011	Gasket (aux tank)	Consumable				4	181	EACH	271.3794896	523.5554043	687.4086713",,
"UID-A-000678	5100-25	Ring -Snap	Consumable				2	1.5	EACH	561.3136671	573.0795163	640.0941166",,
"UID-A-000737	6839	Bulb	Consumable				1	1.72	EACH	343.2801616	416.3548542	613.9250701",,
"UID-A-000768	72820101?101	gasket	Consumable				2	15	EACH	575.0464673	588.2598766	625.8006407",,
"UID-A-000777	7-51863-1	""AMP RING TERMINAL"," RED""	Consumable				25	1	EACH	372.3264488	485.5958578	539.3042523",
"UID-A-000806	7SC0324	First Aid Kit	Consumable				1	495	EACH	429.7502624	490.9947236	634.8079324",,
"UID-A-000808	800-515-10	Washer	Consumable				50	0.47	EACH	464.9660875	598.7533428	771.6372479",,
"UID-A-000817	811BATT1	Clock battery	Consumable				1	30.3	EACH	289.3049357	553.4636224	795.9585839",,
"UID-A-000820	82110403-105	gasket	Consumable				4	22.4	EACH	302.7490016	557.4554379	821.8233705",,
"UID-A-000861	82B001-21	Static Wick Base	Consumable				1	11.08	EACH	390.2031909	513.4557351	630.8068608",,
"UID-A-000862	8-31880-1	""AMP RING TERMINAL"," RED""	Consumable				25	0.29	EACH	377.7263028	404.8303554	469.0239284",
"UID-A-000863	8-31890-1	""AMP RING TERMINAL"," RED""	Consumable				25	0.2	EACH	385.226922	460.0395648	471.4842394",
"UID-A-000865	8-35109-1	""AMP RING TERMINAL"," YELLOW""	Consumable				25	0.29	EACH	392.685081	555.643151	697.1554148",
"UID-A-000911	A-1020	Washer-Fiber	Consumable				50	0.47	EACH	561.2526373	561.7832935	737.5584233",,
"UID-A-000913	A-3044	Carbon  Block (Beta ring)	Consumable				4	147.5	EACH	389.6781036	517.3829036	659.145526",,
"UID-A-000914	A4174-24	Bulb (Nav Wing)	Consumable				1	210	EACH	271.9961145	532.7557261	590.1118463",,
"UID-A-000915	A7079B24	Bulb- ice light	Consumable				1	13.48	EACH	508.4918884	546.0480151	770.7933004",,
"UID-A-000916	A7512-24	Bulb (Nav Wing)	Consumable				1	13.35	EACH	360.724137	538.3321653	548.7625547",,
"UID-A-000919	ABMIM-A-C	""ADHESIVE TIE MOUNT"," LARGE""	Consumable				25	1.25	EACH	447.3471495	598.6234192	737.151612",
"UID-A-000920	ABMM-A-C	""ADHESIVE TIE MOUNT"," SMALL""	Consumable				25	0.93	EACH	331.0947437	582.6092509	865.9527084",
"UID-A-000921	ACH10	Current limitter	Consumable				2	125	EACH	448.1774281	464.8775053	659.2695753",,
"UID-A-000922	ACH20	Current limiter	Consumable				2	125	EACH	336.2762274	506.0775372	564.4487179",,
"UID-A-000923	ACH30	Current limitter	Consumable				2	175	EACH	479.7227238	498.43553	698.6165732",,
