"Unique ID	Part Number	Description	Type	Hrs Interval	Month	Qty	Spare qty	Price	Unit of Measure	Min	Median	Max",,
"UID-A-001246	MS21043-6	Nut High Temp	Consumable				2	1.5	EACH	426.7523794	459.3867195	496.0864586",,
"UID-A-001247	MS21044C4	Lock nut	Consumable				5	0.63	EACH	315.2789364	558.9142596	582.1307286",,
"UID-A-001248	MS21044C6	Lock nut	Consumable				5	1.68	EACH	363.5215184	560.0206446	666.3428957",,
"UID-A-001249	MS21059L06	Nutplate	Consumable				5	1.2	EACH	355.6409568	565.5753029	636.7302358",,
"UID-A-001250	MS21059L08	Nutplate	Consumable				5	1.5	EACH	274.9492347	411.9502564	502.5687729",,
"UID-A-001251	MS21059L3	Nutplate	Consumable				5	0.25	EACH	280.6208222	410.0524812	513.3777104",,
"UID-A-001252	MS21059L4	Nutplate	Consumable				5	1.33	EACH	230.4628172	434.7358112	484.258637",,
"UID-A-001253	MS21075L08N	Nutplate	Consumable				5	0.83	EACH	542.4303564	580.2035506	676.7794839",,
"UID-A-001254	MS21075L3N	Nutplate	Consumable				5	0.7	EACH	370.2457692	516.7590753	697.659804",,
"UID-A-001255	MS21075L4N	Nutplate	Consumable				5	0.97	EACH	307.5983787	491.1690678	576.5237547",,
"UID-A-001256	MS21256-1	""Clip"," Cable Locking""	Consumable				15	0.21	EACH	414.3471257	509.1214997	569.0348399",
"UID-A-001257	MS21256-2	Turnbuckle Lock Clip	Consumable				5	1.5	EACH	480.4210017	589.5828588	650.2303845",,
"UID-A-001258	MS21266-1N	GROMMET EDGING	Consumable				1	0.2	EACH	495.5486722	576.369671	595.8944858",,
"UID-A-001259	MS235478-1683	Lamp	Consumable				10	15	EACH	302.6182359	441.5624868	458.3272338",,
"UID-A-001261	MS24166D1	Relay	Consumable				1	334.43	EACH	374.4233962	489.1864053	541.0415723",,
"UID-A-001263	MS24513-4174	Lamp	Consumable				10	19.28	EACH	358.7042759	443.4139551	514.7195191",,
"UID-A-001264	MS24513?4174	lamp	Consumable				10	19.28	EACH	454.9007758	545.0226428	593.2952398",,
"UID-A-001265	MS24523?24	switch	Consumable				2	26.83	EACH	382.7525555	470.0157845	680.6842981",,
"UID-A-001266	MS24524?32	switch	Consumable				2	58.63	EACH	327.5795651	429.8784649	457.873122",,
"UID-A-001269	MS24665-134	Cotter Pin	Consumable				10	0.01	EACH	485.1269905	526.7007289	703.6025836",,
"UID-A-001270	MS24665-174	Cotter Pin	Consumable				10	1.5	EACH	405.236122	461.6189142	492.8883554",,
"UID-A-001271	MS24665-283	Cotter Pin	Consumable				10	0.01	EACH	420.8340999	500.0389806	578.5362035",,
"UID-A-001273	MS24665-374	Cotter Pin	Consumable				10	1.5	EACH	306.2105793	491.3960819	734.2889545",,
"UID-A-001275	MS24694C5	Screw	Consumable				40	1.5	EACH	337.231884	405.049634	541.5312977",,
"UID-A-001276	MS24694C50	Screw	Consumable				40	0.09	EACH	270.757217	467.4773774	659.5363874",,
"UID-A-001277	MS24694C52	Screw	Consumable				10	0.1	EACH	395.4046622	561.6195279	575.6723928",,
"UID-A-001278	MS24694S3	Screw	Consumable				10	1.5	EACH	428.297449	569.0060381	774.5106677",,
"UID-A-001279	MS24694S31	Screw	Consumable				10	0.33	EACH	287.9205268	403.2695147	481.0002563",,
"UID-A-001280	MS24694S4	Screw	Consumable				10	1.5	EACH	404.2359866	442.389271	506.3342893",,
"UID-A-001281	MS24694S48	Screw	Consumable				10	1.5	EACH	302.5810719	568.6888677	685.8961252",,
"UID-A-001282	MS24694S49	Screw	Consumable				10	1.5	EACH	287.8818424	508.7232722	653.687796",,
"UID-A-001283	MS24694S5	Screw	Consumable				100	0.06	EACH	328.6614107	456.4975402	654.0792635",,
"UID-A-001284	MS24694S50	Screw	Consumable				100	0.06	EACH	335.2828665	494.622505	678.8992576",,
"UID-A-001285	MS24694S51	Screw	Consumable				10	1.5	EACH	353.2932044	523.0725449	534.477969",,
"UID-A-001286	MS24694S52	Screw	Consumable				10	1.5	EACH	290.1650964	422.2447712	626.9661463",,
"UID-A-001287	MS24694S53	Screw	Consumable				10	1.5	EACH	419.1829607	444.4228787	491.9341301",,
"UID-A-001288	MS24694S54	Screw	Consumable				10	1.5	EACH	229.849681	442.3338486	626.8480441",,
"UID-A-001289	MS24694S55	Screw	Consumable				10	1.5	EACH	403.7756405	557.1262276	761.52231",,
"UID-A-001290	MS24694S56	Screw	Consumable				10	1.5	EACH	535.3577681	595.207641	805.6632653",,
"UID-A-001291	MS24694S63	Screw	Consumable				10	1.5	EACH	345.9832237	544.0970024	574.6282352",,
"UID-A-001292	MS24694S65	Screw	Consumable				5	1.5	EACH	391.5492018	464.9279378	648.6297159",,
"UID-A-001293	MS2469C51	Screw	Consumable				20	1.5	EACH	468.2718368	536.3646588	573.3993066",,
"UID-A-001294	MS25069-1495X	Lamp	Consumable				10	15	EACH	376.5550858	445.8255225	580.2007046",,
"UID-A-001295	MS25083-2AA5	Jumper Assy-Bonding Cntr Ail	Consumable				1	35	EACH	322.7562231	540.092702	673.5345264",,
"UID-A-001296	MS25083-2AA6	Jumper	Consumable				1	35	EACH	496.2510155	529.0620211	671.669029",,
"UID-A-001297	MS25083-2AA7	Jumper Assy-Bonding	Consumable				1	35	EACH	364.0399842	496.0896336	516.5008885",,
"UID-A-001298	MS25083-2AB4	Jumper Assy-Bonding Otbd Ail	Consumable				1	1.55	EACH	468.5096421	529.1604169	720.7488381",,
"UID-A-001299	MS25083-2AB6	Jumper Assy-Bonding Inbd Ail	Consumable				1	1.58	EACH	256.8908806	462.7848721	562.5722672",,
"UID-A-001300	MS25083-2BB5	Jumper Assy-Bonding Otbd Ele	Consumable				1	35	EACH	273.5693984	418.5201633	453.7096786",,
"UID-A-001301	MS25083-2BB6	Jumper Assy-Bonding Cntr Ele	Consumable				1	0.45	EACH	351.9919145	491.8220965	529.9623031",,
"UID-A-001302	MS25083-7BB10	Jumper wire	Consumable				1	35	EACH	333.2783152	421.8105385	579.1326737",,
"UID-A-001304	MS25231-313	Bulb- threshold light	Consumable				1	25	EACH	401.8958557	534.7911878	649.4979483",,
"UID-A-001305	MS25237-387	Lamp	Consumable				10	15	EACH	432.4055424	583.1621449	742.3569234",,
"UID-A-001306	MS25242Q4559	""Lamp"," landing light""	Consumable				4	42.84	EACH	310.9159748	472.0388573	559.4350971",
"UID-A-001308	MS25338?7079	""lamp"," wing insp""	Consumable				10	15.2	EACH	390.5182444	427.6466449	489.1651355",
"UID-A-001311	MS27039-0808	Screw	Consumable				5	0.05	EACH	278.2630893	547.2776671	645.6630894",,
"UID-A-001312	MS27039-0809	Screw	Consumable				5	1.5	EACH	387.2293946	591.4933151	711.3222775",,
"UID-A-001313	MS27039-0810	Screw	Consumable				5	1.5	EACH	309.3614462	445.8940917	447.2228059",,
"UID-A-001314	MS27039-0811	Screw	Consumable				5	1.5	EACH	386.5323093	595.5213629	760.0640163",,
"UID-A-001315	MS27039-0812	Screw	Consumable				5	1.5	EACH	528.4907782	567.4438869	850.3206727",,
"UID-A-001316	MS27039-1-04	Screw	Consumable				5	1.5	EACH	275.3702631	504.5479118	580.9525314",,
"UID-A-001317	MS27039-1-05	Screw	Consumable				5	1.5	EACH	435.2699017	534.2719677	722.1131433",,
"UID-A-001318	MS27039-1-06	Screw	Consumable				5	1.5	EACH	300.6525044	500.7948714	690.2491226",,
"UID-A-001319	MS27039-1-07	Screw	Consumable				5	1.5	EACH	224.1752552	444.7457887	640.0347502",,
"UID-A-001320	MS27039-1-08	Screw	Consumable				5	0.06	EACH	438.4634517	463.5598321	464.0327079",,
"UID-A-001321	MS27039-1-09	Screw	Consumable				5	0.05	EACH	434.0729661	562.0895347	612.5257836",,
"UID-A-001322	MS27039-1-10	Screw	Consumable				5	0.06	EACH	530.102419	538.4330174	632.2086766",,
"UID-A-001323	MS27039-1-11	Screw  (Aileron)	Consumable				5	0.06	EACH	276.4965015	482.1388783	691.2110014",,
"UID-A-001324	MS27039-1-12	Screw	Consumable				5	0.08	EACH	446.9708697	588.6375001	756.6842083",,
"UID-A-001325	MS27039-1-13	Screw	Consumable				5	1.5	EACH	248.6884606	493.4569421	665.5433167",,
"UID-A-001326	MS27039-1-14	Screw	Consumable				5	1.5	EACH	503.305664	575.8538802	737.6736552",,
"UID-A-001327	MS27039C1-09	Screw  (seat track)	Consumable				10	0.21	EACH	544.3118644	583.2070831	702.8183816",,
"UID-A-001330	MS28042-1	Clamp - Indicator	Consumable				1	44.11	EACH	427.1174388	486.4051115	602.1886754",,
"UID-A-001334	MS28774-015	Packing	Consumable				2	1.5	EACH	398.1487047	494.6063584	654.6029052",,
"UID-A-001335	MS28774-016	Packing	Consumable				2	1.5	EACH	308.9420746	569.4478919	638.0909766",,
"UID-A-001337	MS28775-012	Packing	Consumable				2	0.09	EACH	257.4264664	488.6283813	493.7894952",,
"UID-A-001338	MS28775-013	Packing	Consumable				2	0.07	EACH	406.585199	559.2445987	775.1596812",,
"UID-A-001339	MS28775-015	Packing	Consumable				2	1.5	EACH	373.84081	493.454705	606.7637495",,
"UID-A-001341	MS28777-4	Packing	Consumable				2	0.54	EACH	380.05794	481.3308831	556.4503146",,
"UID-A-001343	MS28778-4	Packing	Consumable				12	0.2	EACH	383.7889476	506.5482267	718.1513522",,
"UID-A-001344	MS28778-5	Packing	Consumable				2	1.5	EACH	263.2171964	423.9588155	454.606127",,
"UID-A-001347	MS28778-8	Packing	Consumable				2	0.6	EACH	515.7518285	530.3190532	580.0099732",,
"UID-A-001348	MS29512-04	Packing	Consumable				2	0.05	EACH	317.3032964	456.0829342	586.3922358",,
"UID-A-001350	MS29512-06	Packing	Consumable				2	0.09	EACH	486.0093931	598.0375284	739.2999726",,
"UID-A-001351	MS29512-08	Packing	Consumable				2	0.1	EACH	280.9495711	407.3370691	488.1339282",,
"UID-A-001352	MS29512-10	Packing	Consumable				2	0.14	EACH	459.4295926	571.5705306	615.2561098",,
"UID-A-001353	MS29512-12	Packing	Consumable				2	0.17	EACH	521.1103293	527.5084307	539.214885",,
"UID-A-001354	MS29513-029	Packing	Consumable				2	0.26	EACH	348.2423862	434.6589298	566.6494102",,
"UID-A-001355	MS29513-114	Packing	Consumable				2	1.5	EACH	244.9657366	410.0176417	553.5138753",,
"UID-A-001357	MS29513-269	Packing Door	Consumable				5	3	EACH	392.5445114	480.8774675	483.0897903",,
"UID-A-001361	MS29561-114	Packing	Consumable				2	1.5	EACH	304.2793452	424.7618497	442.1519658",,
"UID-A-001364	MS3320?1	circuit breaker	Consumable				3	15	EACH	334.9625633	585.1936672	794.5818157",,
"UID-A-001365	MS3320?10	circuit breaker	Consumable				3	15	EACH	298.8598268	564.6076041	659.3047342",,
"UID-A-001366	MS3320?2	circuit breaker	Consumable				3	15	EACH	446.7770468	550.516101	758.8766832",,
"UID-A-001367	MS3320?3	circuit breaker	Consumable				3	15	EACH	390.4748031	486.5064555	553.6675676",,
"UID-A-001368	MS3320?5	circuit breaker	Consumable				3	15	EACH	585.8411895	586.0162271	862.6507686",,
"UID-A-001369	MS3320?7?1?2	circuit breaker	Consumable				3	15	EACH	482.7898537	521.5339782	593.5247769",,
"UID-A-001370	MS3338-6939	Lamp	Consumable				10	17	EACH	400.037415	591.489391	602.8912206",,
"UID-A-001371	MS33737-16C	Nut-Clip	Consumable				10	1.93	EACH	424.2629568	434.1688906	579.3474027",,
"UID-A-001372	MS35207-261	Screw	Consumable				5	1.5	EACH	327.1397548	525.3794704	552.4543234",,
"UID-A-001373	MS35207-262	Wheel bearing cap screws	Consumable				20	1.5	EACH	262.1583542	517.2032737	589.6595868",,
"UID-A-001374	MS35207-263	Screw	Consumable				5	0.02	EACH	229.5990472	444.1258236	610.6238838",,
"UID-A-001375	MS35207-265	Screw	Consumable				5	1.5	EACH	325.4339215	405.8997658	528.5407024",,
"UID-A-001376	MS35207-267	Screw	Consumable				5	1.5	EACH	234.2099504	401.6254883	572.5675014",,
"UID-A-001377	MS35333-39	Star washer	Consumable				10	0.03	EACH	300.4444157	428.1231441	461.985701",,
"UID-A-001378	MS35333-40	Washer	Consumable				75	1.5	EACH	396.4366163	590.1511408	617.6359794",,
"UID-A-001379	MS35335-32	Star washer	Consumable				5	1.5	EACH	369.852204	552.5603568	571.2302122",,
"UID-A-001380	MS35335-33	Lock Washer	Consumable				40	0.35	EACH	438.2435482	536.3696406	619.2329254",,
"UID-A-001381	MS35338-135	Split Washer	Consumable				2	1.5	EACH	298.3361993	489.0365126	717.8719513",,
"UID-A-001382	MS35338-136	Split Washer	Consumable				2	1.5	EACH	373.2167174	551.3050642	795.2156621",,
"UID-A-001383	MS35338-137	Split Washer	Consumable				2	1.5	EACH	385.7053617	569.9488597	761.4967694",,
"UID-A-001384	MS35338-138	Split Washer	Consumable				2	1.5	EACH	429.8082661	515.0790921	761.5917282",,
"UID-A-001385	MS35338-139	Split Washer	Consumable				2	1.5	EACH	385.3613346	501.6885745	561.6972048",,
"UID-A-001386	MS35478-2232	Lamp	Consumable				10	15	EACH	372.7156477	534.5125065	728.4352318",,
"UID-A-001387	MS90451?7152	lamp	Consumable				10	1.98	EACH	377.1282964	425.7773015	635.9396932",,
"UID-A-001388	MS9058-04	Back-up Ring	Consumable				2	0.49	EACH	398.658606	587.1560111	705.6561401",,
"UID-A-001389	MS9058-06	Back-up Ring	Consumable				4	0.33	EACH	369.7661774	400.0312449	429.5266226",,
"UID-A-001390	MS9320-09	Washer	Consumable				5	0.49	EACH	348.9905592	457.9778226	660.5326734",,
"UID-A-001391	MS9371-16	Gasket (Metal fuel nozzle)	Consumable				56	2.28	EACH	418.1986651	423.7861601	621.1418313",,
"UID-A-001392	MS9385-09	Packing	Consumable				2	0.2	EACH	547.905046	593.695984	658.3131946",,
"UID-A-001393	MS9386-014	Packing	Consumable				2	0.07	EACH	460.8705746	533.3681901	658.0083794",,
"UID-A-001394	MS9386-015	Packing	Consumable				2	0.19	EACH	441.3988499	471.7794071	475.3716503",,
"UID-A-001400	MS9388-213	Packing	Consumable				4	1.92	EACH	241.3231846	435.0471167	438.5161974",,
"UID-A-001402	MS9518-15	Bolt	Consumable				5	14	EACH	313.9788643	495.4009852	717.2705081",,
"UID-A-001408	NAS1149F0316P	Washer (10L)	Consumable				20	1.5	EACH	451.6281963	550.1557	690.3819391",,
"UID-A-001409	NAS1149F0332P	Washer (10)	Consumable				20	0.01	EACH	460.525786	545.5454135	762.0913177",,
"UID-A-001410	NAS1149F0416P	Washer (416L)	Consumable				10	1.5	EACH	323.6766491	405.0857556	605.4105605",,
"UID-A-001411	NAS1149F0432P	Washer (416)	Consumable				10	0.01	EACH	524.7993629	576.4486446	802.6468358",,
"UID-A-001413	NAS1149F0516P	Washer (516L)	Consumable				5	1.5	EACH	316.575123	460.1937477	585.0689749",,
"UID-A-001414	NAS1149F0563P	Washer (516)	Consumable				5	0.02	EACH	424.3692187	599.2658574	811.1819268",,
"UID-A-001415	NAS1149FN416B	Washer (4L)	Consumable				5	0.29	EACH	486.6826518	567.9809592	689.7864321",,
"UID-A-001416	NAS1149FN616P	Washer (6)	Consumable				5	1.5	EACH	300.4179344	423.3752115	467.4808371",,
"UID-A-001417	NAS1149FN632P	Washer (6L)	Consumable				5	1.5	EACH	436.4938476	565.3111664	629.1379429",,
"UID-A-001418	NAS1149FN816P	Washer (8L)	Consumable				10	1.5	EACH	476.6011852	552.577475	564.9316509",,
"UID-A-001419	NAS1149FN832P	Washer (8)	Consumable				10	1.5	EACH	429.1706353	576.11418	801.8451153",,
"UID-A-001421	NAS1329A06K75	Rivnut	Consumable				5	1.5	EACH	479.7988858	544.6002582	549.4601037",,
"UID-A-001422	NAS1329A08K75	Rivnut	Consumable				5	1.5	EACH	299.6876607	585.5384765	616.6357951",,
"UID-A-001423	NAS1329A3K80	Rivnut	Consumable				5	1.5	EACH	273.1493043	542.1206776	657.402881",,
"UID-A-001424	NAS1351C3H32	Bolt (AC bearing cover)	Consumable				3	1.08	EACH	288.8334174	525.776675	720.9881214",,
"UID-A-001425	NAS1523-3R	Washer	Consumable				50	1.47	EACH	341.7879368	559.3553586	588.301557",,
"UID-A-001426	NAS1523AA4R	Washer	Consumable				50	0.46	EACH	245.4270683	421.2922643	535.5987102",,
"UID-A-001427	NAS1581A3R2	Screw - Hyd Access Pnl	Consumable				25	9.56	EACH	275.288059	454.923065	504.8492242",,
"UID-A-001428	NAS1593-135	Packing	Consumable				10	0.36	EACH	457.3160257	491.994276	602.9955333",,
"UID-A-001429	NAS1594-4	Packing	Consumable				2	10.46	EACH	453.0146544	462.8234628	541.618781",,
"UID-A-001430	NAS1595-12	Packing	Consumable				2	1.2	EACH	361.2544107	491.9088218	734.927932",,
"UID-A-001431	NAS1595-4	Packing	Consumable				4	0.09	EACH	450.8880524	551.520362	763.5516138",,
"UID-A-001433	NAS1801-08-10	Screw	Consumable				5	1.5	EACH	383.2858797	539.7701418	808.9953248",,
"UID-A-001434	NAS1801-3-10	Screw	Consumable				5	1.5	EACH	322.6967937	566.3207076	614.4768654",,
"UID-A-001436	NAS387-1032-12	Screw	Consumable				25	0.35	EACH	451.39602	544.2313265	764.5335142",,
"UID-A-001437	NAS387-1032-16P	Screw Upholstery	Consumable				5	1.5	EACH	270.6115103	475.8160716	660.299816",,
"UID-A-001438	NAS387-632-16P	Screw Upholstery	Consumable				5	1.5	EACH	409.0550287	484.0708848	546.9408785",,
"UID-A-001439	NAS387-632-18P	Screw Upholstery	Consumable				5	1.5	EACH	392.0698605	514.5800041	756.9582672",,
"UID-A-001440	NAS387-632-8P	Screw Upholstery	Consumable				5	0.04	EACH	482.5958245	575.8179012	628.5805736",,
"UID-A-001441	NAS387-832-10P	Screw Upholstery	Consumable				5	1.5	EACH	329.1066785	415.9546058	575.5057077",,
"UID-A-001442	NAS387-832-8	Screw	Consumable				25	0.49	EACH	337.4186826	413.1141051	538.1020161",,
"UID-A-001443	NAS391-B10P	Upholstery Washers	Consumable				5	1.5	EACH	277.5188974	400.1438525	479.7464415",,
"UID-A-001444	NAS391B6P	Finish Washer	Consumable				5	1.5	EACH	277.2883677	535.0195469	684.7450304",,
"UID-A-001445	NAS391-B8P	Upholstery Washers	Consumable				5	1.5	EACH	543.5389238	580.4478988	869.0033325",,
"UID-A-001449	NAS617-4	Packing	Consumable				4	0.08	EACH	380.4433353	449.399241	545.8396802",,
"UID-A-001475	PLT2M	""TIE WRAP"," SMALL""	Consumable				100	0.04	EACH	506.0619642	544.513196	725.8393729",
"UID-A-001476	PLT3I-M	""TIE WRAP"," MEDIUM""	Consumable				100	0.11	EACH	388.5480795	510.6190344	573.3415193",
"UID-A-001482	PRP-909-8	Packing -Prop Installation	Consumable				2	1.47	EACH	402.159674	521.8919136	639.4998555",,
"UID-A-001490	Q50E	Relay	Consumable				2	750	EACH	252.2110203	423.4921059	504.3007758",,
"UID-A-001543	SCOTCH70 SELF-FUSING	SELF-FUSING TAPE	Consumable				2	61.85	ROLL	409.7530269	561.2539651	647.5425111",,
"UID-A-001545	SE25FPR-TRO	""SNAKESKIN"," SMALL""	Consumable					1.23	EACH	466.5103544	504.6096945	695.7410214",
"UID-A-001555	SS50727K2915	Plug Button	Consumable				4	1.05	EACH	294.7347645	549.1604064	590.9266456",,
"UID-A-001559	SW-2	""SPIRAL-WRAP"," SMALL""	Consumable					9.78	ROLL	270.5004713	440.2488799	545.6068315",
"UID-A-001560	SW-3	""SPIRAL-WRAP"," MEDIUM""	Consumable					16.11	ROLL	233.8972717	412.7054707	579.3876591",
"UID-A-001561	SW-4	""SPIRAL-WRAP"," LARGE""	Consumable					19.05	ROLL	537.2652744	581.0682634	746.0566136",
"UID-A-001589	TDH8002?2002	relay	Consumable				2	439.08	EACH	347.4288975	437.0462372	518.8256529",,
"UID-A-001590	TDH8002?2003	relay	Consumable				2	439.08	EACH	384.9454947	473.5860289	577.6484323",,
"UID-A-001596	TM2S8	TIE MOUNT	Consumable				1	38.28	PACK	325.0137165	463.2701873	510.7816512",,
"UID-A-001603	TY528M	""TIE WRAP"," LARGE""	Consumable				1	56.92	PACK	455.6472048	548.7454459	746.5221491",
"UID-A-001610	WWD114	Clamp	Consumable				2	3.71	EACH	290.9652488	556.9563204	760.0583851",,
"UID-A-001611	WWD30	Clamp	Consumable				2	4.34	EACH	286.300994	453.2084373	491.0829233",,
"UID-A-001612	WWD38	Clamp	Consumable				2	3.71	EACH	322.9080083	457.9057173	610.0129034",,
"UID-A-001613	WWD46	Clamp	Consumable				2	4.9	EACH	337.2949718	472.7694402	639.1056551",,
"UID-A-001614	WWD82	Clamp	Consumable				2	4.41	EACH	250.9404463	451.4093115	538.1294544",,
"UID-A-001616	XPF-1/2	""SNAKESKIN"," MEDIUM""	Consumable					1.23	EACH	382.3691574	596.0561267	634.1273408",
"UID-A-001617	XPF-3/4	""SNAKESKIN"," LARGE""	Consumable					1.23	EACH	486.8609702	588.7731063	668.8130408",
"UID-A-001621	YD4N	Relay	Consumable				4	215	EACH	439.9163843	445.968414	552.1203215",,
"UID-A-000006	01?0790099?00	power supply	Aircraft Part			4	1	691	EACH	858.2183965	1477.194993	2024.019624",,
"UID-A-000007	01?0790104?00	strobe light assy	Aircraft Part			2	1	612.7	EACH	1168.110175	1537.212592	2102.189879",,
"UID-A-000026	080?20710?01	windshield heat controller	Aircraft Part			2	2	2995	EACH	1188.925672	1741.754956	2157.336896",,
"UID-A-000036	100-380006-167	Probe Fuel (I/B probe I/B wing)	Aircraft Part			2	1	1845.51	EACH	1157.775154	1448.978441	1657.716384",,
"UID-A-000037	100-380006-171	Probe Fuel (Nacelle tank)	Aircraft Part			1	1	2441.5	EACH	1147.979845	1767.809494	2312.541563",,
"UID-A-000038	100-380006-173	Probe Fuel (I/B aft probe O/B wing)	Aircraft Part			1	1	959.67	EACH	948.0889744	1352.715448	1942.462393",,
"UID-A-000039	100-380006-175	Probe fuel (I/B fwd probe O/B wing)	Aircraft Part			1	1	1928.68	EACH	884.7115887	1688.318749	1989.195462",,
"UID-A-000040	100-380006-181	Probe Fuel ( Wet Wing )	Aircraft Part			1	1	1845.5	EACH	826.7219605	1321.993579	1701.982202",,
"UID-A-000041	100-380006-197	Probe fuel (O/B probe I/B wing)	Aircraft Part			1	1	1845.36	EACH	949.1012066	1432.778527	1831.096111",,
"UID-A-000078	10-105-31AB2K	vhf antenna	Consumable			2	1	1812	EACH	1149.796469	1760.471696	2287.064414",,
"UID-A-000126	101-381012-7	Valve Assy-Brake Deice	Aircraft Part				1	1463	EACH	751.6891338	1217.320549	1227.386776",,
"UID-A-000128	101-384004-5	Blower assy condenser	Aircraft Part				1	13327	EACH	764.7869275	1374.911996	1966.359306",,
"UID-A-000136	101-384079-5	Receiver Dryer	Consumable				1	396.67	EACH	1121.413422	1723.071387	2424.906422",,
"UID-A-000139	101-384135-3	Blower Assy (aft vent)	Aircraft Part	1000			0	9550.97	EACH	1340.187833	1363.24068	1701.603247",,
"UID-A-000144	101-384176-3	Blower Assy (fwd evap)	Aircraft Part	1000			1	853	EACH	981.8266615	1590.233995	2028.986445",,
"UID-A-000146	101-384207-5	Oxygen Cylinder	Aircraft Part					6661.93	EACH	1110.794301	1435.325419	1953.008367",,
"UID-A-000195	101-540023-1	""Gasket","  Outflow & Safety Valve""	Consumable				1	84.51	EACH	676.2429317	1202.15557	1763.089753",
"UID-A-000207	101-8002-3	Brake assy	Aircraft Part				4	14916.88	EACH	812.4692607	1243.394738	1730.616062",,
"UID-A-000209	101-8026-1	""Wheel and Tire Assy","  Nose""	Aircraft Part				1	17213.25	EACH	1025.56146	1642.8293	1743.710794",
"UID-A-000257	1122667	fuel temp bulb	Consumable				1	25	EACH	1699.067613	1753.117089	2422.723587",,
"UID-A-000262	112633-1	""Vent-Heated Fuel quoted """"Co-Polar 10.95 - 11.7 GHz""""""	Consumable				2	382.6	EACH	1301.844685	1798.965279	2321.45054",,
"UID-A-000270	114-388024-1	Brake assy	Aircraft Part				4	14139.08	EACH	1311.272851	1706.560483	2367.280681",,
"UID-A-000274	114-389040-21	Sensor-Fuel Level	Aircraft Part				1	2265.65	EACH	1105.118685	1293.543677	1599.514408",,
"UID-A-000279	117-384019-3	Indicator Fuel Quantity	Aircraft Part				2	4850.89	EACH	1509.49553	1673.881279	2060.618149",,
"UID-A-000302	130346-12	Pressure Controller	Aircraft Part				1	44159.8	EACH	1165.202455	1209.118735	1211.774823",,
"UID-A-000326	13083?25	squibb	Consumable				1	433.33	EACH	898.3385874	1323.774832	1363.915409",,
"UID-A-000348	13621	""Cup"," Bearing""	Consumable				4	102.66	EACH	1102.723583	1369.086551	1548.533532",
"UID-A-000351	13685	""Bearing"," Cone and Seal Assy""	Consumable				4	90.92	EACH	807.4063076	1213.990118	1278.42389",
"UID-A-000359	147240-1	""filter"," outflow valve""	Consumable				1	39.26	EACH	987.2914827	1741.845837	2434.935889",
"UID-A-000375	164540-303	ESU	Aircraft Part				1	29040	EACH	1024.823097	1537.617807	2065.585847",,
"UID-A-000388	19150	""Cone-Bearing"," Nose Whl""	Consumable				2	78.13	EACH	1397.183008	1602.529764	2035.215032",
"UID-A-000389	19268 quoted -20629	""Cup-Bearng"," Nose Whl""	Consumable				5	69.55	EACH	876.2487692	1279.799314	1461.656401",
"UID-A-000415	206SZZC	Bearing (AC compressor)	Consumable				2	65.97	EACH	1734.731524	1745.960665	2364.384687",,
"UID-A-000419	2117804-10	press controller	Aircraft Part				1	  	EACH	1261.730874	1461.360016	1653.336486",,
"UID-A-000428	2315M84?2	wiper blade	Consumable				2	661.9	EACH	1176.120404	1585.456556	2267.118042",,
"UID-A-000435	265KO8-1	Tire 22x6.75-10 (nose)	Consumable				2	329.81	EACH	858.1007684	1325.975202	1695.261543",,
"UID-A-000470	30?1084?1	tail pos light	Aircraft Part				1	867.9	EACH	1179.448979	1226.772103	1736.79002",,
"UID-A-000474	3011155	Tube Transfer (fuel nozzle)	Consumable				8	150	EACH	1120.340747	1351.052494	1424.081532",,
"UID-A-000475	3012414	""Nut (""""C"""" flange)""	Consumable				55	12.34	EACH	777.7673135	1408.784703	1688.071286",,
"UID-A-000494	3039532	""Thermo-Couple"," T5 long probe""	Consumable				1	835	EACH	1286.830769	1494.626929	1508.989631",
"UID-A-000500	3059258-01	Filter Oil	Consumable				2	83.12	EACH	781.8630981	1378.429556	2018.960574",,
"UID-A-000514	3100457-01	""Adapter (fuel nozzle """"S"""")""	Consumable				2	945	EACH	733.5663441	1338.849596	1443.141528",,
"UID-A-000572	3E2092-2	""Wire Harness"," Prop Deice""	Consumable				4	81.38	EACH	1147.727937	1299.312937	1900.767317",
"UID-A-000575	4016341-905	baro altimeter	Aircraft Part				1	8690	EACH	1495.691505	1562.133782	2199.479309",,
"UID-A-000576	4122?006009	aux fx pump	Aircraft Part				1	56931.1	EACH	837.5973154	1424.412016	2121.682856",,
"UID-A-000591	4460102-5	Oxygen Fitting Grease	Consumable				1	61.51	EACH	1315.246182	1352.214615	1934.136265",,
"UID-A-000594	452-0133	Replace ELT Batttery	Consumable					367.66	Each	1338.962684	1514.283127	1846.105311",,
"UID-A-000596	452-16-12	Lanyard-Fuel Cap	Consumable				4	21.25	EACH	1295.964791	1736.181121	1905.577586",,
"UID-A-000606	488T	hand mic	Consumable				1	54.42	EACH	1170.025381	1508.51159	2030.599925",,
"UID-A-000634	50-300011-39	""Seal"," Bearing""	Consumable				5	111.2	EACH	675.4391109	1264.912991	1838.267949",
"UID-A-000647	50-389121-29	Switch Pressure (auto feather high)	Consumable				1	936.25	EACH	1138.400183	1213.390392	1432.934351",,
"UID-A-000648	50-389121-31	Switch Pressure (auto feather low)	Consumable				1	918.75	EACH	1457.549801	1621.307749	1692.573343",,
